singer_mid,singer_name
004HidEP3pkcji,刘宪华 (Henry)
0022VtZd19rZpi,阿杜
0031dOOZ1zyvZw,许茹芸
004TXjLD41LEZI,光良
00180Rk61RE4qh,周柏豪
001YZBa22LLKce,谢安琪
002sfdNU1f3nHD,赵英俊
004E2BBy3X9xne,王俊凯
0037dNIC0n5pW8,岑宁儿
000mjQA01OD3Mp,叶炫清
000f1b6W1wzyRN,RADWIMPS (ラッドウィンプス)
0000QHSk0ruY3Y,海鸣威
004JFi5j40xHsy,阿桑
001XOTno2nFjJP,郑中基
002MUFZM3LoKnS,徐梦圆
002OSfGH2iq7wx,Daniel Powter (丹尼尔·波特)
0034b6ah1V4ZPk,Kelly Clarkson (凯丽.克拉克森)
0011CYh41MbdFm,梅艳芳
001yE9K93DI7FQ,韩宝仪
003MDXPR3tcGSm,金莎
002U7Psh3e5vfz,云朵
0039EKtl4ec7wv,Aimer (エメ)
002uNtOf2Xj5eB,Westlife (西城男孩)
000Rws1M0RnZF9,李翊君
001D3C3T2wxP74,Lady Gaga
001QY1cc2SIqpB,水木年华
001ii8ME2uOv92,蒋蒋
002Vj8o12l10eK,Two Steps From Hell (两步逃离地狱)
002MfEld3FWp0R,张艺兴
002Sm9iK4RIsCr,筷子兄弟
003wI8vE3k8cTY,Linkin Park (林肯公园)
0012mAqa27UcEi,戴佩妮
0023dQD40to8NP,永彬Ryan.B
003Jjq4o3Of1MH,周晓鸥
0043Zxw10txf5O,郭静
001Qugh71V6YHu,周思涵
002RDDXV2CJF5l,南拳妈妈
000itww408VVeN,李琦
001kHB0v1AiUNg,卢冠廷
001oXbjs29oPul,孙子涵
000RIxZJ19KYRJ,蓝波
004NfJdF0gn6Z1,Red Velvet (레드벨벳)
003tfL1I07zOeN,贺敬轩
003wBqzB3ZJaB9,六哲
0036ERbx4IUm9V,伍佰
0044vhyY2lfSB8,周冬雨
001UaHMG07W4SB,李玖哲
004RKkVx1tZcSC,Calvin Harris (加尔文·哈里斯)
000QHY034BjmUa,NCT U (엔시티 유)
001a5w162IXjyZ,李巍V仔
001aLqBy2MCFJB,屠洪刚
003JE8jQ46n049,焦迈奇
0041l9xT317k8V,黄凯芹
000GM7zi3ZcMQ2,齐秦
000B2mbx2kEMLz,张雨生
003pVJZJ2uEq4j,草蜢
001SXl8y2mQobu,陈鸿宇
004ALksm29seAk,印子月
003ULldz24exLi,大张伟
004HZcui2e2Iej,比莉
000LUIBr4Uwt2J,赵紫骅
000wOH7L3UPfa2,Doja Cat
0033DUFG3yj0r3,陈百强
003bdcMg1ML7YC,郑伊健
002DF1Lp2C6mEY,冷漠
0022eAG537I1bg,肖战
003Z6Uiu1dvLv0,陈柏宇
002qHYM50JQl7V,迪克牛仔
001C0c6j1VyLfh,黑龙
004QYGOE4OeXgX,崔子格
002iE9xv2DuIQT,灿烈 (찬열)
003Cnamx4Ig5Z2,郑智化
003Zrf984VCsV6,温岚
000UismY3Pa6Qh,Tizzy T
001MeKQO0NeefQ,黄品源
000MYKBS1wPozb,杨烁
004QoDUs3jfOC6,韩安旭
000vYUqh1SqjQQ,华语群星
002OB4sz25N0aD,高进
002BUZcl2OSALk,Various Artists (欧美群星)
000yDAjj2TE9j8,Eminem (埃米纳姆)
001PZ4z50dbbDo,余佳运
003Pcyjw2AAnGS,陈瑞
004DTQXp0cNXeG,魏晨
0018jrV33Zv6WP,丁当
00216fJA496xQG,王嘉尔
004Ilfdp4EKQh1,王峰
003CKb192ggBqi,Fall Out Boy
001G1w4p3Dk92Q,庾澄庆
0013RsPD3Xs0FG,半阳
0022DRSx1GZbbS,金池
001RRlcX2n2NLs,Olly Murs
004S3vUn27fDYv,鹿先森乐队
002cUt1w0pizR1,后弦
002MiBdR19HQWx,Rihanna (蕾哈娜)
002cJUME2GGBOT,Zedd
002XVZaw3X63Kp,AGA
001kLlv90Rkzax,杨乃文
00422ufR1IoaoB,佛教歌曲
000Dt3oh13pg4o,太妍 (태연)
004HStLx460K4g,张智霖
002rNUzT3J9p2Q,王爱华
001stwbx0IVxzs,孟庭苇
0029SxgR215af5,伯贤 (백현)
001GAeOa0SeDvI,任素汐
004GPm8B362txY,谢霆锋
0008OyYh2o3RbD,奇然
001p5MSX07YGwi,MAMAMOO (마마무)
000N66sR0OvOF9,Hillsong Young & Free (新頌青年＆自由)
003q7Y431JXtUn,DAISHI DANCE (ダイシ・ダンス)
003mySXl30dc0S,李代沫
0004LscG3FtUDz,OneRepublic (共和时代)
0046fVNz3ruk2r,Selena Gomez (赛琳娜·戈麦斯)
000gELB619OfVG,David Guetta (大卫.格塔)
000BW02d0YUa4B,宋宇宁
002Of0Px3EDXCW,太阳 (태양)
002FTSfR2lcnnw,飞轮海
001GniJ52Wcp8W,邰正宵
000keDtj2Um0rT,新裤子
001SDJ7y2qo9wz,姜育恒
0032tJkm2MGj8i,青鸟飞鱼
0043OO7j3TsLnO,杨坤
0003ohLl05Pyna,承利
001BNSLF3lhyCj,李行亮
00126IqD1yITec,高胜美
004eaDNU1nfRO0,张磊
000m5V6e10Sas0,乌兰图雅
000Z1Ow71FFutX,BY2
003GBWij2kV7Tg,久石让 (ひさいし じょう)
001B26VQ39vxHS,戴荃
003LaMHm42u7qS,本兮
000bIVX74I5zk5,陈淑桦
001xruwk2A0Vw7,赵方婧
003gGlyh37bnFM,GALA
002UILPL4dGoEz,卓依婷
003lf9Ia28XvH1,少女时代 (소녀시대)
002T0ifq4LjAcD,罗大佑
001MXQUi1tlLon,Coldplay (酷玩乐队)
001orhmd37wwf2,萨顶顶
002a1DuK4evNsR,Owl City (猫头鹰之城)
0028iJ7f3Tjl97,林峯
001wYy5s2mM3Tq,黎明
004IHCLx2eWTCC,季彦霖
004WQ23u0iDwsJ,关喆
001HH3WP0nbf4N,P!NK (红粉佳人)
002LJqM93gNF52,弦子
000NSBcL3v5mJj,赵海洋
000BwYzf1pWCFB,Twins
002aFRpO1dMtfw,Clean Bandit (清洁盗贼)
003hyLrs2w5hhM,李丽芬
0005FEv73Z2scR,许冠杰
001YVqTF03GDed,回音哥
001Ic36m4AhaBw,Avril Lavigne (艾薇儿)
000u2eXg0ELjGK,毛宁
000zzzra2D2Stn,Mariah Carey (玛丽亚·凯莉)
000cXhjy0aIjzV,倪尔萍
000we89k1hzBcA,谭维维
001Y2Gbc2Xt1hU,Michael Jackson (迈克尔·杰克逊)
000B32Gi2wEXWq,Lost Frequencies
001oNMzI3WznzG,夏婉安
002QnBvg3hfrW1,LiSA (织部里沙)
003UjO1f3dJMRT,姜玉阳
0003Aksc3Iisgq,黄小琥
002JptyK0sIn6P,宇多田光 (宇多田ヒカル)
0023ni2j3F9CpN,Jam
003T09nh37Pq4N,Marshmello (棉花糖)
004MwD3H1FDY6t,王强
004fW1lZ1t6XaQ,Conor Maynard
0026mEMJ1LCsbT,TheFatRat
000ALGX60l46fH,金海心
004QC1TT0HOw3X,海龟先生
0040HbAd0HG7N5,Lana Del Rey (拉娜·德雷)
004HbbQJ4dKCan,大哲
000BTnYZ1Fcj83,蔡琴
004CKthJ2WL21f,小沈阳
003x0xvB4HsAvN,高安
002sStNs4QWLyA,彭佳慧
0017yWnu0ibp2P,腾格尔
003TrPd01f3OYo,张卫健
0040z4ka3pubEV,萧忆情Alex
004Sp1ez1j2CG1,央金兰泽
002IlhxL0c6wCx,毛阿敏
001yMNFV23daTV,冯提莫
003wEM1c4G4EM2,赵晨唏
002WkEWV1TA75B,老狼
001YMoro1NL5hU,Ellie Goulding
00220AYa4Ohak5,Feint
0005WbSC2mG28J,印能法师
001QQ4d231esWM,萧全
00081ZN91FD8QW,吕方
001ZEnNS19gR0h,钟镇涛
002yjHfE3aJX69,郑秀文
002yeznU3VAVEV,吴亦凡
000BAMFw3wRg0B,吴克群
004cnBXB1OBN7m,Carly Rae Jepsen
002hnZeF2kCKQa,韦礼安
001eCe952euE6Q,卢巧音
001LjbeY1GyiBX,李晓杰
000FF56x1ZCWkB,马天宇
004CgtOM2ULH9w,黑鸭子组合
0019fymM3ZZ1oi,Timbaland (提姆巴兰)
001CmAqB4LJV0u,Groove Coverage (舞动精灵乐团)
003JUs4X1xzjld,赵传
000nmQ1v0JGExN,成龙
0027V6On1Y14xn,Ailee (에일리)
000ZLVUZ14y0HS,文武贝
002Ua1Ph1SH8iF,好妹妹
0023TUOS0vGD8C,澤野弘之 (さわの ひろゆき)
001Yid8O1fLHzz,刘小慧
001IKmTG2BVhJp,Flo Rida
001FXn5P0kkWfV,One Direction
0049u0DR3G9Rgv,陈势安
0020IaUo4Vgsjk,齐一
000CNXu71VVyXU,R3HAB
002FMuXL1U6ABd,戚薇
002i29r43wE9II,Cash Cash
001KH1tJ02U8KY,摩登兄弟
003yunWs2NY9pV,王冕
002zDOLP0EhFt8,ZAYN (泽恩)
000qLy4P0Lv0tl,Deep Side (Git Fresh)
004OG5IM1BYEI3,王一博
002BDnhL30fdox,云菲菲
0011E6iP3x2vRn,罗文
003KHAR40ycCk3,Justin Timberlake (贾斯汀·汀布莱克)
00428pcM4ctKFo,新乐尘符
001m7JoC1IVL44,金南玲
002PZBgg1S9xPX,陈楚生
002xpOdd4Dh6pu,李易峰
001srHmw2Mhtlq,梁汉文
002WSpMB1xp64n,郑欣宜
002KiRnJ15GNyR,钟嘉欣
004gbMvP356XaI,陆虎
004GsuzV3ba2M9,龙梅子
002go2P3224C0G,圈妹
000M5XHh0QVjVG,笑天
000I3b6g4MWa7q,刘凤瑶
